zone_id,zone_name,baseline_predicted,baseline_source,baseline_confidence,baseline_method,baseline_observation_count,baseline_first_observed,baseline_last_observed,baseline_imputed_component_count,recent_311_count,recent_311_per_100_baseline,recent_311_expected,recent_311_relative_pressure,recent_311_adjustment,food_claimed,need_score,need_tier,need_label,model_as_of,block_count,source_areas,source_neighborhoods,source_block_ids,grouping_reason
city_center,City Center,169.98,panel_261_2018_2025,higher,mean_methodology_adjusted_survey_total,12,2018-01-24,2025-01-31,0,763,448.88,571.02,0.3362,14.29,0.0,184.27,high,High need,2026-08-20 22:34:00,50,"[""City Center""]","[""City Center""]","[""01ST_AV_W_A_ST"",""01ST_AV_W_BROADWAY"",""01ST_AV_W_B_ST"",""01ST_AV_W_C_ST"",""01ST_AV_W_E_ST"",""01ST_AV_W_F_ST"",""02ND_AV_C_ST"",""03RD_AV_A_ST"",""03RD_AV_C_ST"",""04TH_AV_A_ST"",""04TH_AV_BROADWAY"",""04TH_AV_B_ST"",""04TH_AV_C_ST"",""05TH_AV_A_ST"",""05TH_AV_B_ST"",""05TH_AV_C_ST"",""06TH_AV_A_ST"",""06TH_AV_B_ST"",""06TH_AV_C_ST"",""07TH_AV_A_ST"",""07TH_AV_BROADWAY"",""07TH_AV_B_ST"",""07TH_AV_C_ST"",""08TH_AV_A_ST"",""08TH_AV_BROADWAY"",""08TH_AV_B_ST"",""08TH_AV_C_ST"",""09TH_AV_A_ST"",""09TH_AV_BROADWAY"",""09TH_AV_B_ST"",""09TH_AV_C_ST"",""10TH_AV_A_ST"",""10TH_AV_BROADWAY"",""10TH_AV_B_ST"",""10TH_AV_C_ST"",""11TH_AV_A_ST"",""11TH_AV_BROADWAY"",""11TH_AV_B_ST"",""11TH_AV_C_ST"",""FRONT_ST_W_A_ST"",""FRONT_ST_W_BROADWAY"",""FRONT_ST_W_B_ST"",""FRONT_ST_W_C_ST"",""FRONT_ST_W_E_ST"",""Map_Border_BROADWAY"",""PARK_BL_A_ST"",""PARK_BL_BROADWAY"",""PARK_BL_B_ST"",""PARK_BL_C_ST"",""PARK_BL_RUSS_BL""]",High-need neighborhood retained as its own operational zone
east_village_north,East Village North,148.75,panel_261_2018_2025,higher,mean_methodology_adjusted_survey_total,12,2018-01-24,2025-01-31,1,851,572.1,499.7,0.703,26.14,0.0,174.89,high,High need,2026-08-20 22:34:00,48,"[""East Village""]","[""East Village""]","[""07TH_AV_E_ST"",""07TH_AV_F_ST"",""07TH_AV_G_ST"",""08TH_AV_E_ST"",""08TH_AV_F_ST"",""08TH_AV_G_ST"",""09TH_AV_E_ST"",""09TH_AV_F_ST"",""09TH_AV_G_ST"",""10TH_AV_E_ST"",""10TH_AV_F_ST"",""10TH_AV_G_ST"",""11TH_AV_E_ST"",""11TH_AV_F_ST"",""11TH_AV_G_ST"",""13TH_ST_BROADWAY"",""13TH_ST_C_ST"",""13TH_ST_E_ST"",""13TH_ST_F_ST"",""13TH_ST_G_ST"",""14TH_ST_BROADWAY"",""14TH_ST_C_ST"",""14TH_ST_E_ST"",""14TH_ST_F_ST"",""14TH_ST_G_ST"",""15TH_ST_BROADWAY"",""15TH_ST_C_ST"",""15TH_ST_E_ST"",""15TH_ST_F_ST"",""15TH_ST_G_ST"",""16TH_ST_BROADWAY"",""16TH_ST_C_ST"",""16TH_ST_E_ST"",""16TH_ST_F_ST"",""16TH_ST_G_ST"",""17TH_ST_BROADWAY"",""17TH_ST_C_ST"",""17TH_ST_E_ST"",""17TH_ST_F_ST"",""17TH_ST_G_ST"",""I-5_SB_ON_RA_BROADWAY"",""I-5_SB_ON_RA_C_ST"",""I-5_SB_ON_RA_E_ST"",""I-5_SB_ON_RA_F_ST"",""I-5_SB_ON_RA_G_ST"",""PARK_BL_E_ST"",""PARK_BL_F_ST"",""PARK_BL_G_ST""]",East Village split at its existing north/south source boundary
east_village_south,East Village South,379.42,panel_261_2018_2025,higher,mean_methodology_adjusted_survey_total,12,2018-01-24,2025-01-31,0,1444,380.58,1274.61,0.1329,12.61,0.0,392.03,high,High need,2026-08-20 22:34:00,55,"[""East Village""]","[""South East Village""]","[""07TH_AV_ISLAND_AV"",""07TH_AV_J_ST"",""07TH_AV_MARKET_ST"",""08TH_AV_ISLAND_AV"",""08TH_AV_MARKET_ST"",""09TH_AV_ISLAND_AV"",""09TH_AV_MARKET_ST"",""10TH_AV_ISLAND_AV"",""10TH_AV_J_ST"",""10TH_AV_MARKET_ST"",""11TH_AV_ISLAND_AV"",""11TH_AV_J_ST"",""11TH_AV_K_ST"",""11TH_AV_MARKET_ST"",""12TH_AV_PARK_BL"",""13TH_ST_IMPERIAL_AV"",""13TH_ST_ISLAND_AV"",""13TH_ST_J_ST"",""13TH_ST_K_ST"",""13TH_ST_L_ST"",""13TH_ST_MARKET_ST"",""14TH_ST_IMPERIAL_AV"",""14TH_ST_ISLAND_AV"",""14TH_ST_J_ST"",""14TH_ST_K_ST"",""14TH_ST_L_ST"",""14TH_ST_MARKET_ST"",""15TH_ST_IMPERIAL_AV"",""15TH_ST_ISLAND_AV"",""15TH_ST_J_ST"",""15TH_ST_MARKET_ST"",""16TH_ST_IMPERIAL_AV"",""16TH_ST_ISLAND_AV"",""16TH_ST_J_ST"",""16TH_ST_K_ST"",""16TH_ST_MARKET_ST"",""17TH_ST_IMPERIAL_AV"",""17TH_ST_ISLAND_AV"",""17TH_ST_J_ST"",""17TH_ST_K_ST"",""17TH_ST_MARKET_ST"",""I-5_SB_IMPERIAL_AV"",""I-5_SB_ISLAND_AV"",""I-5_SB_MARKET_ST"",""I-5_SB_OFF_RA_J_ST"",""I-5_SB_OFF_RA_Map_Border"",""I-5_SB_ON_RA_Map_Border"",""Map_Border_IMPERIAL_AV"",""Map_Border_NATIONAL_AV"",""NATIONAL_AV_IMPERIAL_AV"",""PARK_BL_ISLAND_AV"",""PARK_BL_J_ST"",""PARK_BL_MARKET_ST"",""TONY_GWYNN_DR_K_ST"",""TONY_GWYNN_DR_L_ST""]",East Village split at its existing north/south source boundary
northwest_downtown,Northwest Downtown,123.94,panel_261_2018_2025,higher,mean_methodology_adjusted_survey_total,12,2018-01-24,2025-01-31,0,583,470.39,416.36,0.4002,12.4,0.0,136.34,medium,Medium need,2026-08-20 22:34:00,64,"[""Columbia"",""Cortez""]","[""Columbia"",""Cortez""]","[""01ST_AV_I-5_SB"",""01ST_AV_W_ASH_ST"",""01ST_AV_W_BEECH_ST"",""01ST_AV_W_CEDAR_ST"",""02ND_AV_ASH_ST"",""02ND_AV_BEECH_ST"",""02ND_AV_CEDAR_ST"",""02ND_AV_I-5_SB"",""03RD_AV_ASH_ST"",""03RD_AV_BEECH_ST"",""03RD_AV_CEDAR_ST"",""03RD_AV_I-5_SB"",""04TH_AV_ASH_ST"",""04TH_AV_BEECH_ST"",""04TH_AV_CEDAR_ST"",""04TH_AV_I-5_SB"",""05TH_AV_ASH_ST"",""05TH_AV_BEECH_ST"",""05TH_AV_CEDAR_ST"",""05TH_AV_I-5_SB"",""06TH_AV_ASH_ST"",""06TH_AV_BEECH_ST"",""06TH_AV_CEDAR_ST"",""06TH_AV_I-5_SB"",""07TH_AV_ASH_ST"",""07TH_AV_BEECH_ST"",""07TH_AV_CEDAR_ST"",""07TH_AV_I-5_SB"",""08TH_AV_ASH_ST"",""08TH_AV_BEECH_ST"",""08TH_AV_CEDAR_ST"",""08TH_AV_DATE_ST"",""09TH_AV_ASH_ST"",""09TH_AV_BEECH_ST"",""09TH_AV_CEDAR_ST"",""09TH_AV_DATE_ST"",""10TH_AV_ASH_ST"",""10TH_AV_BEECH_ST"",""10TH_AV_CEDAR_ST"",""10TH_AV_DATE_ST"",""CALIFORNIA_ST_W_ASH_ST"",""CALIFORNIA_ST_W_BROADWAY"",""COLUMBIA_ST_W_ASH_ST"",""COLUMBIA_ST_W_A_ST"",""COLUMBIA_ST_W_B_ST"",""COLUMBIA_ST_W_C_ST"",""FRONT_ST_W_ASH_ST"",""INDIA_ST_W_ASH_ST"",""INDIA_ST_W_A_ST"",""INDIA_ST_W_B_ST"",""KETTNER_BL_W_ASH_ST"",""KETTNER_BL_W_A_ST"",""KETTNER_BL_W_BROADWAY"",""SR-163_NB_ON_RA_ASH_ST"",""STATE_ST_W_ASH_ST"",""STATE_ST_W_A_ST"",""STATE_ST_W_BROADWAY"",""STATE_ST_W_B_ST"",""STATE_ST_W_C_ST"",""UNION_ST_W_ASH_ST"",""UNION_ST_W_A_ST"",""UNION_ST_W_BROADWAY"",""UNION_ST_W_B_ST"",""UNION_ST_W_C_ST""]",Adjacent lower-density Cortez and Columbia neighborhoods merged
outside_barrio_logan,Barrio Logan Edge,168.44,expanded_382_2022_2025,lower,mean_methodology_adjusted_survey_total,5,2022-01-27,2025-01-31,0,0,0.0,565.85,-1.0,0.0,0.0,168.44,medium,Medium need,2026-08-20 22:34:00,35,"[""Outside Perimeter""]","[""Barrio Logan""]","[""BEARDSLEY_ST_LOGAN_AV"",""BEARDSLEY_ST_MAIN_ST"",""BEARDSLEY_ST_NATIONAL_AV"",""BEARDSLEY_ST_NEWTON_AV"",""CESAR_E_CHAVEZ_PY_CROSBY_RD"",""CESAR_E_CHAVEZ_PY_HARBOR_DR"",""CESAR_E_CHAVEZ_PY_I-5_SB"",""CESAR_E_CHAVEZ_PY_LOGAN_AV"",""CESAR_E_CHAVEZ_PY_MAIN_ST"",""CESAR_E_CHAVEZ_PY_NATIONAL_AV"",""CESAR_E_CHAVEZ_PY_NEWTON_AV"",""DEWEY_ST_NATIONAL_AV"",""Map_Border_BAY_FRONT_ST"",""Map_Border_HARBOR_DR"",""Map_Border_Map_Border"",""NEWTON_AV_Map_Border"",""NEWTON_AV_PARK_BL"",""SAMPSON_ST_I-5_SB"",""SAMPSON_ST_LOGAN_AV"",""SAMPSON_ST_MAIN_ST"",""SAMPSON_ST_NATIONAL_AV"",""SAMPSON_ST_NEWTON_AV"",""SIGSBEE_ST_LOGAN_AV"",""SIGSBEE_ST_NATIONAL_AV"",""SR-75_NB_HARBOR_DR"",""SR-75_NB_MAIN_ST"",""SR-75_NB_NEWTON_AV"",""S_16TH_ST_COMMERCIAL_ST"",""S_16TH_ST_NATIONAL_AV"",""S_17TH_ST_COMMERCIAL_ST"",""S_EVANS_ST_I-5_SB"",""S_EVANS_ST_LOGAN_AV"",""S_EVANS_ST_MAIN_ST"",""S_EVANS_ST_NATIONAL_AV"",""S_EVANS_ST_NEWTON_AV""]",Outside Perimeter area with five expanded-footprint surveys
outside_golden_hill,Golden Hill Edge,20.26,expanded_382_2022_2025,lower,mean_methodology_adjusted_survey_total,5,2022-01-27,2025-01-31,0,0,0.0,68.06,-1.0,0.0,0.0,20.26,low,Low need,2026-08-20 22:34:00,52,"[""Outside Perimeter""]","[""Golden Hill""]","[""19TH_ST_I-5_SB_OFF_RA"",""20TH_ST_BROADWAY"",""20TH_ST_B_ST"",""20TH_ST_C_ST"",""20TH_ST_E_ST"",""21ST_ST_BROADWAY"",""21ST_ST_B_ST"",""21ST_ST_C_ST"",""21ST_ST_E_ST"",""21ST_ST_RUSS_BL"",""22ND_ST_A_ST"",""22ND_ST_BROADWAY"",""22ND_ST_BROADWAY__2"",""22ND_ST_B_ST"",""22ND_ST_C_ST"",""22ND_ST_E_ST"",""23RD_ST_A_ST"",""23RD_ST_BROADWAY"",""23RD_ST_B_ST"",""23RD_ST_C_ST"",""23RD_ST_E_ST"",""24TH_ST_A_ST"",""24TH_ST_BROADWAY"",""24TH_ST_B_ST"",""24TH_ST_C_ST"",""24TH_ST_E_ST"",""25TH_ST_A_ST"",""25TH_ST_BROADWAY"",""25TH_ST_B_ST"",""25TH_ST_C_ST"",""25TH_ST_E_ST"",""25TH_ST_RUSS_BL"",""25TH_ST_SR-94_WB"",""26TH_ST_A_ST"",""26TH_ST_BROADWAY"",""26TH_ST_B_ST"",""26TH_ST_C_ST"",""26TH_ST_E_ST"",""26TH_ST_RUSS_BL"",""27TH_ST_A_ST"",""27TH_ST_BROADWAY"",""27TH_ST_B_ST"",""27TH_ST_C_ST"",""27TH_ST_E_ST"",""27TH_ST_RUSS_BL"",""28TH_ST_A_ST"",""28TH_ST_BROADWAY"",""28TH_ST_B_ST"",""28TH_ST_C_ST"",""28TH_ST_E_ST"",""28TH_ST_RUSS_BL"",""28TH_ST_TREAT_ST""]",Outside Perimeter area with five expanded-footprint surveys
outside_sherman_heights,Sherman Heights Edge,62.49,expanded_382_2022_2025,lower,mean_methodology_adjusted_survey_total,5,2022-01-27,2025-01-31,0,0,0.0,209.93,-1.0,0.0,0.0,62.49,low,Low need,2026-08-20 22:34:00,34,"[""Outside Perimeter""]","[""Sherman Heights""]","[""19TH_ST_ISLAND_AV"",""19TH_ST_J_ST"",""19TH_ST_MARKET_ST"",""20TH_ST_G_ST"",""20TH_ST_ISLAND_AV"",""20TH_ST_J_ST"",""20TH_ST_K_ST"",""20TH_ST_L_ST"",""20TH_ST_MARKET_ST"",""21ST_ST_G_ST"",""21ST_ST_ISLAND_AV"",""21ST_ST_J_ST"",""21ST_ST_K_ST"",""21ST_ST_L_ST"",""21ST_ST_MARKET_ST"",""22ND_ST_G_ST"",""22ND_ST_ISLAND_AV"",""22ND_ST_J_ST"",""22ND_ST_K_ST"",""22ND_ST_L_ST"",""22ND_ST_MARKET_ST"",""22ND_ST_SR-94_EB_ON_RA"",""24TH_ST_G_ST"",""24TH_ST_ISLAND_AV"",""24TH_ST_K_ST"",""24TH_ST_L_ST"",""24TH_ST_MARKET_ST"",""25TH_ST_G_ST"",""25TH_ST_ISLAND_AV"",""25TH_ST_J_ST"",""25TH_ST_K_ST"",""25TH_ST_L_ST"",""25TH_ST_MARKET_ST"",""25TH_ST_SR-94_EB""]",Outside Perimeter area with five expanded-footprint surveys
southwest_downtown,Southwest Downtown,79.62,panel_261_2018_2025,higher,mean_methodology_adjusted_survey_total,12,2018-01-24,2025-01-31,0,232,291.38,267.47,-0.1326,0.0,0.0,79.62,low,Low need,2026-08-20 22:34:00,44,"[""Gaslamp"",""Marina""]","[""Gaslamp"",""Marina""]","[""01ST_AV_W_G_ST"",""01ST_AV_W_ISLAND_AV"",""01ST_AV_W_MARKET_ST"",""02ND_AV_G_ST"",""02ND_AV_ISLAND_AV"",""02ND_AV_MARKET_ST"",""03RD_AV_G_ST"",""03RD_AV_ISLAND_AV"",""03RD_AV_J_ST"",""03RD_AV_MARKET_ST"",""04TH_AV_G_ST"",""04TH_AV_ISLAND_AV"",""04TH_AV_J_ST"",""04TH_AV_MARKET_ST"",""05TH_AV_BROADWAY"",""05TH_AV_E_ST"",""05TH_AV_F_ST"",""05TH_AV_G_ST"",""05TH_AV_ISLAND_AV"",""05TH_AV_J_ST"",""05TH_AV_K_ST"",""05TH_AV_MARKET_ST"",""06TH_AV_BROADWAY"",""06TH_AV_E_ST"",""06TH_AV_F_ST"",""06TH_AV_G_ST"",""06TH_AV_ISLAND_AV"",""06TH_AV_J_ST"",""06TH_AV_K_ST"",""06TH_AV_L_ST"",""06TH_AV_MARKET_ST"",""COLUMBIA_ST_W_G_ST"",""FRONT_ST_W_F_ST"",""FRONT_ST_W_G_ST"",""FRONT_ST_W_MARKET_ST"",""FRONT_ST_W_MARKET_ST__2"",""KETTNER_BL_W_E_ST"",""KETTNER_BL_W_F_ST"",""KETTNER_BL_W_G_ST"",""STATE_ST_Map_Border"",""STATE_ST_W_G_ST"",""UNION_ST_W_E_ST"",""UNION_ST_W_F_ST"",""UNION_ST_W_G_ST""]",Adjacent lower-density Gaslamp and Marina neighborhoods merged
